날짜,시가,고가,저가,종가,거래량
1999-01-04,1776,1776,1624,1693,666160
1999-01-05,1692,1712,1649,1673,643209
1999-01-06,1702,1720,1651,1718,645110
1999-01-07,1761,1858,1723,1841,1412320
1999-01-08,1802,1839,1741,1742,830500
1999-01-11,1780,1800,1780,1790,710689
1999-01-12,1886,1886,1723,1743,573720
1999-01-13,1741,1741,1706,1732,386490
1999-01-14,1676,1702,1653,1702,505121
1999-01-15,1702,1755,1692,1742,331251
1999-01-18,1800,1800,1745,1777,474000
1999-01-19,1761,1790,1719,1769,365490
1999-01-20,1790,1839,1761,1800,977480
1999-01-21,1780,1810,1723,1751,562704
1999-01-22,1751,1751,1604,1605,448442
1999-01-25,1643,1702,1608,1683,654250
1999-01-26,1755,1766,1684,1685,536840
1999-01-27,1702,1798,1700,1787,784947
1999-01-28,1786,1817,1774,1808,789332
1999-01-29,1790,1806,1753,1759,510570
1999-02-01,1800,1800,1763,1788,238890
1999-02-02,1788,1788,1739,1747,315480
1999-02-03,1718,1731,1684,1693,342576
1999-02-04,1702,1712,1663,1702,363810
1999-02-05,1692,1761,1653,1761,695955
1999-02-08,1680,1751,1680,1702,380690
1999-02-09,1682,1698,1657,1675,381820
1999-02-10,1653,1675,1604,1634,664282
1999-02-11,1661,1678,1643,1644,287590
1999-02-12,1682,1751,1667,1743,403600
1999-02-18,1712,1721,1682,1687,440930
1999-02-19,1663,1663,1602,1653,503847
1999-02-22,1624,1624,1583,1605,390357
1999-02-23,1616,1624,1538,1595,489420
1999-02-24,1586,1637,1579,1605,450797
1999-02-25,1584,1667,1577,1644,428566
1999-02-26,1663,1696,1653,1687,444970
1999-03-02,1704,1712,1657,1657,419963
1999-03-03,1663,1690,1635,1642,346979
1999-03-04,1641,1641,1610,1616,218289
1999-03-05,1604,1643,1596,1620,260752
1999-03-08,1653,1716,1647,1700,425791
1999-03-09,1700,1712,1684,1712,464166
1999-03-10,1708,1708,1643,1667,312011
1999-03-11,1653,1712,1643,1691,685802
1999-03-12,1716,1716,1688,1716,349850
1999-03-15,1716,1727,1688,1698,416435
1999-03-16,1700,1716,1696,1706,297728
