Date,Open,High,Low,Close,Trading
1999-11-11,999,999,999,999,12
1999-11-12,1115,1115,1115,1115,140
1999-11-15,1249,1249,1249,1249,405
1999-11-16,1396,1396,1396,1396,214
1999-11-17,1561,1561,1561,1561,191
1999-11-18,1748,1748,1748,1748,772
1999-11-19,1958,1958,1958,1958,253
1999-11-22,2190,2190,2190,2190,199
1999-11-23,2449,2449,2449,2449,119
1999-11-24,2739,2739,2739,2739,226
1999-11-25,3065,3065,3065,3065,74
1999-11-26,3430,3430,3430,3430,138
1999-11-29,3841,3841,3841,3841,722
1999-11-30,4300,4300,4300,4300,675
1999-12-01,4809,4809,4809,4809,498
1999-12-02,5380,5380,5380,5380,26283
1999-12-03,6022,6022,6022,6023,4204
1999-12-06,6745,6745,6745,6745,2279
1999-12-07,7548,7548,7548,7548,1858
1999-12-08,8450,8450,8450,8450,530
1999-12-09,9458,9458,9458,9458,303
1999-12-10,10573,10573,10573,10573,919
1999-12-13,11823,11823,11823,11823,281
1999-12-14,13206,13206,13206,13206,338
1999-12-15,14767,14767,14767,14767,1665
1999-12-16,16507,16507,16507,16507,445900
1999-12-17,18470,18470,15257,17310,816998
1999-12-20,16864,19363,16507,19363,389360
1999-12-21,21236,21682,17845,19630,402655
1999-12-22,20522,21950,20522,21950,504048
1999-12-23,24583,24583,23735,24583,137005
1999-12-24,24493,27527,23199,27527,306559
1999-12-27,27215,30829,26635,30829,363146
1999-12-28,32613,34487,31765,34487,179437
2000-01-04,35692,36272,30383,30383,299705
2000-01-05,26769,26769,26769,26769,11735
2000-01-06,25429,26679,23556,23556,287096
2000-01-07,20746,20746,20746,20746,12935
2000-01-10,20746,21861,18292,20969,748874
2000-01-11,23467,23467,22396,23467,158638
2000-01-12,20656,26189,20656,22040,835796
2000-01-13,20790,22039,19407,19407,481144
2000-01-14,20076,21727,17087,20835,685501
2000-01-17,22306,23333,19986,23333,498122
2000-01-18,23646,26100,23467,26100,257945
2000-01-19,28909,29132,22976,23110,748278
2000-01-20,23199,25608,20968,25073,678076
2000-01-21,25073,26590,23645,24538,539470
2000-01-24,24181,25341,24137,24360,303779
2000-01-25,21861,23021,21460,21460,254165
2000-01-26,21860,22306,19005,19630,394786
2000-01-27,18291,18737,17310,17310,247224
2000-01-28,16150,19363,15793,19363,515977
2000-01-31,19006,21683,18381,21683,206802
2000-02-01,24270,24270,24270,24270,35182
2000-02-02,25028,26679,24091,24895,578226
2000-02-03,27840,27840,26590,27840,201794
2000-02-07,31141,31141,31141,31141,12519
2000-02-08,34800,34800,30160,34800,600859
2000-02-09,36583,38904,35691,38904,225518
2000-02-10,40867,43544,39260,43544,163733
2000-02-11,48720,48720,48720,48720,55360
2000-02-14,47113,53181,42919,44080,1254125
2000-02-15,44615,46221,38815,38815,648619
2000-02-16,37476,43455,35691,43455,871486
2000-02-17,43900,47738,41938,43455,1019885
2000-02-18,44704,45775,40153,40689,912308
2000-02-21,37476,40688,35959,36852,588638
2000-02-22,38368,39617,34085,34978,481754
2000-02-23,33372,34443,30784,32123,461574
2000-02-24,35514,35960,33907,35960,198168
2000-02-25,39171,39528,35334,35692,505172
2000-02-28,33907,36584,32747,32837,472014
2000-02-29,34086,34800,31855,32837,277474
2000-03-02,33907,34800,30873,32034,309043
2000-03-03,28197,29446,28197,28197,616721
2000-03-06,29445,29891,25340,26233,476923
2000-03-07,25252,28375,24092,27840,583977
2000-03-08,26411,29802,26232,28553,765858
2000-03-09,29267,31944,27660,31944,657180
2000-03-10,33014,34977,30159,31587,805770
2000-03-13,31587,32122,27839,28018,480702
2000-03-14,25520,27661,25162,25966,432507
2000-03-15,24983,27482,23913,25430,620710
2000-03-16,25876,28285,24716,26233,1060110
2000-03-17,25519,25875,23109,23110,354337
2000-03-20,22306,22306,20344,20344,282628
2000-03-21,18202,20968,17934,19630,721601
2000-03-22,20522,21949,20165,20433,663165
2000-03-23,21325,21949,18916,19630,479646
2000-03-24,20255,20701,18738,19452,294750
2000-03-27,19808,21236,18827,20612,626061
2000-03-28,20701,21325,20344,20612,272204
2000-03-29,19630,20343,18202,18381,239908
2000-03-30,17221,20523,16239,20523,588454
2000-03-31,19898,21771,18202,18292,655624
2000-04-03,18737,19184,16364,17221,369369
2000-04-04,16417,16685,15275,15668,525347
2000-04-06,15703,17274,15525,15918,688677
2000-04-07,16775,17828,16418,17828,413924
2000-04-10,19273,19898,18916,19898,104221
2000-04-11,17935,20879,17756,17846,822622
2000-04-12,17310,17845,16774,17310,297372
2000-04-14,16060,16417,15240,15240,236537
2000-04-17,13420,13420,13420,13420,7533
2000-04-18,13759,14794,11813,12028,631180
2000-04-19,12527,13366,11795,12135,649251
2000-04-20,11956,12188,10707,11207,424136
2000-04-21,11527,12545,10956,12545,789166
2000-04-24,12455,12812,11064,11064,460887
2000-04-25,10546,11349,10225,10921,475086
2000-04-26,11474,11742,10600,10707,415691
2000-04-27,10260,10617,9422,9422,261597
2000-04-28,9636,9886,9012,9369,416303
2000-05-02,9654,10493,9493,10493,332684
2000-05-03,10689,11331,10564,11064,558891
2000-05-04,11189,12206,10814,11332,444634
2000-05-08,11795,12134,11153,11189,430612
2000-05-09,10724,10795,10224,10457,262254
2000-05-10,10439,10706,9993,10243,343443
2000-05-12,9975,10189,9207,9279,299407
2000-05-15,8922,9190,8173,8182,302507
2000-05-16,8182,9155,7852,9155,437778
2000-05-17,9475,9636,8066,8209,629814
2000-05-18,8030,9065,7405,8423,946746
2000-05-19,8833,9422,8226,9422,887775
2000-05-22,9636,10546,8744,9119,1720376
